,full_text
101,"['melihat', 'debat', 'menilau', 'anies', 'pemimpin', 'selalu', 'memiliki', 'solusi', 'menghadapi', 'berbagai', 'rintangan']"
102,"['sangat', 'terlihat', 'debat', 'capres', '2024', 'anies', 'baswedan', 'capres', 'bisa', 'menjawab', 'pertanyaan', 'jawaban', 'memuaskan']"
103,"['gabisa', 'cari', 'kesalahan', 'anies', 'sampe', 'kesalahan', 'pendukungnya', 'dicari', 'mo', 'milih', 'presiden', 'mo', 'milih', 'pendukungnya']"
104,"['semua', 'omongan', 'anies', 'ngibul', 'program', 'programnya', 'amburadul', 'jungkook', 'is', 'coming', 'olivia', 'gacoan', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', '100m', 'views']"
105,"['debat', 'capres', 'anies', 'baswedan', 'menatidakpi', 'pernyataan', 'argumen', 'sangat', 'berbobot', 'tentunya', 'memuaskan', 'rakyat']"
106,"['klo', 'ulama2', 'tahu', 'jejak', 'digital', 'pak', 'anies', 'waktu', 'wawancara', 'dgn', 'najwa', 'shihabselama', 'pak', 'nyapres', 'tdk', 'maju', 'nyapresternyata', 'waktu', 'debat', 'memojokan', 'pak', 'mosok', 'sih', 'orang', 'ingkar', 'janji', 'gitu', 'didukung', 'tak', 'iye']"
107,"['hanya', 'pendapat', 'anggota', 'dpr', 'dr', 'psi', 'jadi', 'pegangan', 'yah', 'wakakaka', 'kamu', 'tnton', 'video', 'fullnya', 'youtube', 'justru', 'anies', 'dijegal', 'atidakrannya', 'makanya', 'tonton', 'youtube', 'selesai']"
108,"['anies', 'jago', 'debat', 'jago', 'ngeles', 'kalau', 'ditanya', 'jawabanya', 'mutar2', 'spy', 'ngeles', 'dikatakan', 'yang', 'dikerjakan', 'bajingan', 'pembohong', 'tidakk', 'beretika', 'yang', 'mengusung', 'jadi', 'gubernur', 'mata', 'najwa', 'janji', 'tidakk', 'mencalonkan', 'diri', 'jk', 'juga', 'mecalonkan', 'diri']"
109,"['ahok', 'produk', 'termasuk', 'anies']"
110,"['anies', 'the', 'legend', 'of', 'avathar', 'sang', 'pengendali', 'angin']"
